"","ErroRate","Precision","recall","F1"
"CBG",0.145454545454546,0.901840490797546,0.859649122807018,0.880239520958084
"KNN",0.00363636363636366,1,0.99390243902439,0.996941896024465
"LR",0.0181818181818182,0.975460122699387,0.99375,0.984520123839009
"LRR",0,1,1,1
"EVM",0.00727272727272732,1,0.987878787878788,0.99390243902439
