"","ErroRate","Precision","recall","F1"
"1",0.118181818181818,0.927272727272727,0.85,0.88695652173913
"2",0.2,0.859649122807018,0.777777777777778,0.816666666666667
"3",0.181818181818182,0.896551724137931,0.787878787878788,0.838709677419355
"4",0.172727272727273,0.852459016393443,0.838709677419355,0.845528455284553
"5",0.2,0.826923076923077,0.767857142857143,0.796296296296296
"6",0.172727272727273,0.897058823529412,0.835616438356164,0.865248226950355
"7",0.1,0.929577464788732,0.916666666666667,0.923076923076923
"8",0.146788990825688,0.883333333333333,0.854838709677419,0.868852459016393
"9",0.201834862385321,0.75,0.865384615384615,0.803571428571429
"10",0.119266055045872,0.929824561403509,0.854838709677419,0.890756302521008
