"","Mean","Inf","Sup"
"TaxaErro",0.0182323072040622,0.0111668178868806,0.0252977965212438
"Precisao",0.978079112209045,0.965073888783101,0.991084335634989
"Cobertura",0.98897678553122,0.982732757641315,0.995220813421124
"Fmeasure",0.983385897294921,0.976812509311563,0.989959285278279
