"","Mean","Inf","Sup"
"TaxaErro",0.0415529461546599,0.0285043790017336,0.0546015133075862
"Precisao",0.936577947485876,0.915368742870907,0.957787152100845
"Cobertura",0.987426676982831,0.975804785171319,0.999048568794342
"Fmeasure",0.961092991645213,0.947357754222931,0.974828229067494
