"","Mean","Inf","Sup"
"ErroRate",0.00947318311647095,0.00452436554431191,0.01442200068863
"Precision",0.993380482941804,0.988288729019775,0.998472236863833
"Recall",0.98872937030755,0.981728229119492,0.995730511495608
"F1",0.991030382009627,0.985851470404248,0.996209293615006
