"","ErroRate","Precision","recall","F1"
"1",0.123188405797101,0.9125,0.879518072289157,0.895705521472393
"2",0.13768115942029,0.868131868131868,0.918604651162791,0.892655367231638
"3",0.18978102189781,0.79746835443038,0.863013698630137,0.828947368421053
"4",0.197080291970803,0.838235294117647,0.780821917808219,0.808510638297872
"5",0.18978102189781,0.861111111111111,0.794871794871795,0.826666666666667
"6",0.167883211678832,0.883116883116883,0.829268292682927,0.855345911949686
"7",0.18978102189781,0.884615384615385,0.802325581395349,0.841463414634146
"8",0.131386861313869,0.923076923076923,0.857142857142857,0.888888888888889
"9",0.167883211678832,0.953125,0.753086419753086,0.841379310344828
"10",0.116788321167883,0.88,0.904109589041096,0.891891891891892
