"","Mean","Inf","Sup"
"ErroRate",0.00874854543531153,0.0046381718212534,0.0128589190493697
"Precision",0.993557687937054,0.988663443806102,0.998451932068006
"Recall",0.990940058332424,0.984746520301306,0.997133596363543
"F1",0.992214962566857,0.988595017865895,0.995834907267819
