;ErroRate;Precision;recall;F1
1;0;1;1;1
2;0.02173913;0.967032967;1;0.983240223
3;0.02919708;0.949367089;1;0.974025974
4;0.02919708;0.955882353;0.984848485;0.970149254
5;0.02189781;0.986111111;0.97260274;0.979310345
6;0.01459854;0.987012987;0.987012987;0.987012987
7;0.02919708;0.961538462;0.986842105;0.974025974
8;0.01459854;0.987179487;0.987179487;0.987179487
9;0.00729927;1;0.984615385;0.992248062
10;0.01459854;0.986666667;0.986666667;0.986666667
