"","ErroRate","Precision","recall","F1","h"
"1",0.236363636363636,0.934426229508197,0.721518987341772,0.814285714285714,0.01
"2",0.254545454545455,0.949152542372881,0.691358024691358,0.8,0.01
"3",0.227272727272727,0.854545454545454,0.734375,0.789915966386555,0.01
"4",0.336363636363636,0.872727272727273,0.615384615384615,0.721804511278196,0.01
"5",0.272727272727273,0.815384615384615,0.746478873239437,0.779411764705882,0.01
"6",0.136363636363636,0.901639344262295,0.859375,0.88,0.01
"7",0.263636363636364,0.867647058823529,0.746835443037975,0.802721088435374,0.01
"8",0.211009174311927,0.896551724137931,0.753623188405797,0.818897637795276,0.01
"9",0.26605504587156,0.903846153846154,0.661971830985915,0.764227642276423,0.01
"10",0.174311926605505,0.876923076923077,0.838235294117647,0.857142857142857,0.01
