"","ErroRate","Precision","recall","F1"
"1",0.0181818181818182,0.963636363636364,1,0.981481481481482
"2",0.0272727272727272,0.967213114754098,0.983333333333333,0.975206611570248
"3",0.00909090909090904,0.983333333333333,1,0.991596638655462
"4",0.0181818181818182,0.984615384615385,0.984615384615385,0.984615384615385
"5",0.0272727272727272,0.95,1,0.974358974358974
"6",0.0181818181818182,1,0.966666666666667,0.983050847457627
"7",0.0545454545454546,0.938461538461538,0.968253968253968,0.953125
"8",0.0458715596330275,0.929824561403509,0.981481481481482,0.954954954954955
"9",0.0275229357798165,0.952380952380952,1,0.975609756097561
"10",0.0275229357798165,0.945454545454545,1,0.97196261682243
