"","ErroRate","Precision","recall","F1"
"1",0.00909090909090904,0.982456140350877,1,0.991150442477876
"2",0.00909090909090904,0.981132075471698,1,0.990476190476191
"3",0.00909090909090904,1,0.983333333333333,0.991596638655462
"4",0.0272727272727272,0.983333333333333,0.967213114754098,0.975206611570248
"5",0.00909090909090904,1,0.983333333333333,0.991596638655462
"6",0.00909090909090904,0.983606557377049,1,0.991735537190083
"7",0,1,1,1
"8",0.00917431192660545,1,0.982142857142857,0.990990990990991
"9",0.00917431192660545,1,0.983606557377049,0.991735537190083
"10",0.00917431192660545,0.985074626865672,1,0.992481203007519
