"","ErroRate","Precision","recall","F1"
"1",0.127272727272727,0.918032786885246,0.861538461538462,0.888888888888889
"2",0.145454545454546,0.949152542372881,0.811594202898551,0.875
"3",0.181818181818182,0.836363636363636,0.807017543859649,0.821428571428571
"4",0.218181818181818,0.854545454545454,0.746031746031746,0.796610169491525
"5",0.209090909090909,0.784615384615385,0.85,0.816
"6",0.136363636363636,0.885245901639344,0.870967741935484,0.878048780487805
"7",0.181818181818182,0.897058823529412,0.824324324324324,0.859154929577465
"8",0.146788990825688,0.879310344827586,0.85,0.864406779661017
"9",0.174311926605505,0.846153846153846,0.8,0.822429906542056
"10",0.0917431192660551,0.923076923076923,0.923076923076923,0.923076923076923
