"","Mean","Inf","Sup"
"ErroRate",0.0247910716174759,0.0148748705348011,0.0347072727001507
"Precision",0.967347373541786,0.956282252458084,0.978412494625488
"Recall",0.987955397933863,0.977945218800124,0.997965577067602
"F1",0.97748119889239,0.968669936379582,0.986292461405198
