"","ErroRate","Precision","recall","F1"
"1",0,1,1,1
"2",0.0217391304347826,0.967032967032967,1,0.983240223463687
"3",0.0291970802919708,0.949367088607595,1,0.974025974025974
"4",0.0291970802919708,0.955882352941177,0.984848484848485,0.970149253731343
"5",0.0218978102189781,0.986111111111111,0.972602739726027,0.979310344827586
"6",0.0145985401459854,0.987012987012987,0.987012987012987,0.987012987012987
"7",0.0291970802919708,0.961538461538462,0.986842105263158,0.974025974025974
"8",0.0145985401459854,0.987179487179487,0.987179487179487,0.987179487179487
"9",0.00729927007299269,1,0.984615384615385,0.992248062015504
"10",0.0145985401459854,0.986666666666667,0.986666666666667,0.986666666666667
