"","ErroRate","Precision","recall","F1"
"1",0.0144927536231884,0.986486486486487,0.986486486486487,0.986486486486487
"2",0,1,1,1
"3",0.00729927007299269,1,0.986666666666667,0.993288590604027
"4",0.0145985401459854,0.988235294117647,0.988235294117647,0.988235294117647
"5",0,1,1,1
"6",0.0145985401459854,0.986842105263158,0.986842105263158,0.986842105263158
"7",0.00729927007299269,0.985507246376812,1,0.992700729927007
"8",0.00729927007299269,0.988505747126437,1,0.994219653179191
"9",0.0145985401459854,1,0.974683544303797,0.987179487179487
"10",0.00729927007299269,1,0.986486486486487,0.993197278911565
