"","Mean","Inf","Sup"
"ErroRate",0.0175023801967629,0.0100415559895853,0.0249632044039405
"Precision",0.978079112209045,0.965073888783101,0.991084335634989
"Recall",0.990310118864553,0.983633092663237,0.996987145065869
"F1",0.984048089688657,0.977125378562849,0.990970800814465
