"","Mean","Inf","Sup"
"ErroRate",0.117364857717127,0.0929100014781077,0.141819713956146
"Precision",0.810701389072233,0.782504315961767,0.838898462182699
"Recall",0.974556231531055,0.956212162960878,0.992900300101231
"F1",0.884855638223889,0.862148205202199,0.907563071245579
