"","ErroRate","Precision","recall","F1"
"1",0.00909090909090904,1,0.982758620689655,0.991304347826087
"2",0.0363636363636364,0.955223880597015,0.984615384615385,0.96969696969697
"3",0.0363636363636364,0.944444444444444,0.980769230769231,0.962264150943396
"4",0.0181818181818182,0.968253968253968,1,0.983870967741935
"5",0.0181818181818182,0.96551724137931,1,0.982456140350877
"6",0.0545454545454546,0.935483870967742,0.966666666666667,0.950819672131148
"7",0.0272727272727272,0.970588235294118,0.985074626865672,0.977777777777778
"8",0.018348623853211,0.966101694915254,1,0.982758620689655
"9",0.036697247706422,0.945454545454545,0.981132075471698,0.962962962962963
"10",0.055045871559633,0.928571428571429,0.962962962962963,0.945454545454545
