"","ErroRate","Precision","recall","F1"
"CBG",0.134545454545455,0.914110429447853,0.866279069767442,0.88955223880597
"KNN",0,1,1,1
"LR",0.0145454545454545,0.987730061349693,0.987730061349693,0.987730061349693
"LRR",0.0327272727272727,0.957055214723926,0.987341772151899,0.97196261682243
"EVM",NA,NA,NA,NA
