"","Mean","Inf","Sup"
"ErroRate",0.0240717232624563,0.0130401230157931,0.0351033235091196
"Precision",0.966514156781628,0.951266724680827,0.981761588882429
"Recall",0.988854503339798,0.978096568989994,0.999612437689601
"F1",0.977453268564768,0.96647629454239,0.988430242587145
