"","ErroRate","Precision","recall","F1"
"1",0.0869565217391305,0.851851851851852,1,0.92
"2",0.123188405797101,0.8,1,0.888888888888889
"3",0.072992700729927,0.869565217391304,0.983606557377049,0.923076923076923
"4",0.153284671532847,0.753246753246753,0.966666666666667,0.846715328467153
"5",0.0875912408759124,0.846153846153846,1,0.916666666666667
"6",0.145985401459854,0.786666666666667,0.936507936507937,0.855072463768116
"7",0.160583941605839,0.777777777777778,0.940298507462687,0.851351351351351
"8",0.153284671532847,0.769230769230769,0.952380952380952,0.851063829787234
"9",0.0802919708029197,0.838235294117647,1,0.912
"10",0.10948905109489,0.814285714285714,0.966101694915254,0.883720930232558
