"","ErroRate","Precision","recall","F1"
"1",0.0144927536231884,0.987012987012987,0.987012987012987,0.987012987012987
"2",0.00724637681159424,0.986842105263158,1,0.993377483443709
"3",0.00729927007299269,0.987179487179487,1,0.993548387096774
"4",0.0218978102189781,1,0.964285714285714,0.981818181818182
"5",0,1,1,1
"6",0,1,1,1
"7",0.00729927007299269,1,0.985294117647059,0.992592592592593
"8",0.0145985401459854,0.98780487804878,0.98780487804878,0.98780487804878
"9",0.0145985401459854,0.986301369863014,0.986301369863014,0.986301369863014
"10",0.00729927007299269,1,0.9875,0.993710691823899
