"","Mean","Inf","Sup"
"ErroRate",0.00947318311647095,0.00452436554431191,0.01442200068863
"Precision",0.993514082736743,0.988616453044827,0.998411712428658
"Recall",0.989819906685755,0.981851473807157,0.997788339564354
"F1",0.991616657169994,0.987399918062332,0.995833396277656
