"","ErroRate","Precision","recall","F1"
"1",0.0144927536231884,0.971014492753623,1,0.985294117647059
"2",0.00724637681159424,0.9875,1,0.993710691823899
"3",0.0145985401459854,0.972602739726027,1,0.986111111111111
"4",0.0291970802919708,0.957142857142857,0.985294117647059,0.971014492753623
"5",0.0145985401459854,0.987179487179487,0.987179487179487,0.987179487179487
"6",0.0218978102189781,0.975308641975309,0.9875,0.981366459627329
"7",0.0437956204379562,0.924050632911392,1,0.960526315789474
"8",0.00729927007299269,0.988505747126437,1,0.994219653179191
"9",0.0364963503649635,0.961538461538462,0.974025974025974,0.967741935483871
"10",0.051094890510949,0.940298507462687,0.954545454545455,0.947368421052632
